Time,Fuel,Feed,RPM,Ts_burning,Tg_burning,Target
4.30,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.35,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.40,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.45,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.50,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.55,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.60,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.65,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.70,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.75,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.80,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.85,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.90,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.95,4.0000,40.00,1.50,1364.19,1587.37,1450.00
